ensmbl_id,c3h_hej_bsl_0days_avg,c3h_hej_flt_25days_avg,c3h_hej_flt_75days_avg,c3h_hej_gc_25days_avg,c3h_hej_gc_75days_avg,c3h_hej_viv_25days_avg,c3h_hej_viv_75days_avg
ENSMUSG00000000826,5332.820892698994,5518.871398103768,5257.959353504661,5334.56629818673,4964.61158690327,5676.0449625441415,5633.56591474199
ENSMUSG00000000827,3340.69084762299,2771.666663939194,2729.765212316184,2620.88622758954,2340.129813605622,2681.530950826582,2663.3457294896098
ENSMUSG00000000838,3986.737127166509,3447.5916904309,3795.694260428242,5429.518222042058,5214.293853760042,3655.3605502079504,4181.2483752061435
ENSMUSG00000000861,27.201235700180636,66.84034545685927,57.93879275365767,41.83322763681046,50.77958387511154,38.582669878789986,53.4169476999283
ENSMUSG00000000869,0.996568396585314,,,0.820332243992652,1.5897892509309148,,2.483449328219355
ENSMUSG00000000876,4576.649392831254,3737.9720837372397,4558.997116881028,4304.02639684767,4232.931849804908,3816.6498156595,4688.410392181944
ENSMUSG00000000881,1267.494667401371,1407.561666831414,1472.44132140075,1239.64279480659,1425.170618656468,1363.7505974984979,1446.338167336046
ENSMUSG00000000884,133.6532828318437,122.88442510328828,140.41248195443214,132.83240105958626,118.70781127321975,115.79350297229473,120.90228211606359
ENSMUSG00000000889,0.9858258379709262,0.540475952517691,0.4964196337680107,2.22422676964454,1.13336643621416,0.93127425767647,2.814260735241165
ENSMUSG00000000901,215.69918668036792,237.856440725922,248.649294020861,223.28100757729703,220.6546613877152,231.7809012448618,288.656943343578
ENSMUSG00000000902,1165.7025390621027,1162.127462397182,1185.5351128058362,967.3067738692052,818.7515729176198,1113.8325929232185,1054.2531242051768
ENSMUSG00000000903,1.855246635840647,2.1388840161680838,3.10133065602143,2.306009080777565,4.338419280604397,2.8890823110282424,3.9966242312222824
ENSMUSG00000000915,2305.2010145789286,2345.8063402271555,2223.9890898452027,2214.604453755731,1683.3190094149782,2368.039834970545,2082.3306424455113
ENSMUSG00000000916,292.8336897549941,259.884999785232,264.0919256035935,230.38932482111463,186.45264395719076,249.71308261435905,218.84436956043473
ENSMUSG00000000934,836.2978818864607,737.7210138019452,776.9871651110608,673.4745686456926,642.7368975874095,642.3941865331312,710.5280719825294
ENSMUSG00000000938,1614.9540135980867,1458.074279309468,1628.1738916112201,1725.081024928196,1638.69833196427,1457.493115711818,1581.6181286086498
ENSMUSG00000000942,72.9308500983347,51.32035428809509,60.49292745415296,49.68968710320214,58.99680008033285,61.02552909511244,55.69156479960684
ENSMUSG00000000948,87.67198982001594,47.005739549847156,69.60100372361926,123.13088898860613,108.56697744894386,59.60287355247408,64.54811117640604
ENSMUSG00000000957,383.9463638540388,605.7282187044832,514.866720451298,567.834519257147,448.5048614817268,593.8601672886016,524.0666945022688
ENSMUSG00000000958,10180.95621745987,8666.122021771249,8668.64352313344,7159.407934289664,5949.939276322186,7423.564349715717,6878.320579683097
ENSMUSG00000000959,2535.834465764465,2348.176693439888,2249.3049562897386,2051.254097764842,1878.9550445225195,2037.198269021032,2153.513202614793
