Unnamed: 0_nan_nan_nan_nan,Mmus_C3H-HeJ_KDN_BSL_0days,Mmus_C3H-HeJ_KDN_FLT_25days,Mmus_C3H-HeJ_KDN_FLT_75days,Mmus_C3H-HeJ_KDN_GC_25days,Mmus_C3H-HeJ_KDN_GC_75days,Mmus_C3H-HeJ_KDN_VIV_25days,Mmus_C3H-HeJ_KDN_VIV_75days,Mmus_C57-6J_KDN_BSL_0days,Mmus_C57-6J_KDN_FLT_25days,Mmus_C57-6J_KDN_FLT_75days,Mmus_C57-6J_KDN_GC_25days,Mmus_C57-6J_KDN_GC_75days,Mmus_C57-6J_KDN_VIV_25days,Mmus_C57-6J_KDN_VIV_75days
ENSMUSG00000000194,2287.9135868376143,2443.646417918202,2123.120750645372,2369.457119911594,2539.865559428562,2507.240731033338,2453.1657737708942,2116.8242628916955,2282.2035140526723,2024.2412808203521,2094.284076346918,2254.7905641994075,2366.38046505293,2278.120183401576
ENSMUSG00000000197,50.571915366054625,28.115579166141163,44.268697773179625,39.6914673130615,46.824798352823564,36.41219195209334,46.09289790200972,34.205013061677406,35.72029027493498,38.44734443441108,38.5611861188014,42.265743437128876,25.36700640053352,35.59278442676992
ENSMUSG00000000216,2743.1966703922544,3062.5568150747777,3165.655785070806,2827.7668487738542,2812.38158778236,2906.475853842288,3166.712621619566,2330.2658700253355,2053.537430090032,2384.745767689616,2176.397980680636,2167.46847213636,2386.7467328185858,2337.7231919288884
ENSMUSG00000000223,9.088514709525176,8.93394938441482,10.030774505759952,9.974914854230558,9.0339755503776,10.398190712168715,8.759763439868202,10.410130936840767,8.837667490665426,8.60634165024737,6.635797186565194,5.599070494190696,8.957988213354577,7.344904752203303
ENSMUSG00000000244,33.222706930062905,31.6553339716655,24.18812348550878,34.3771598030417,32.39381153070624,38.52618985655188,37.63409395131654,22.673007171457545,27.4820165915323,34.215463725815525,22.24346795991348,24.456354651774973,32.2697866669096,30.180381737265588
ENSMUSG00000000253,1456.8272920086724,1622.8812007811425,1797.383581040335,1491.5245736137824,1344.8312153664442,1421.8017504275444,1655.8549832597514,1842.6247012006545,1848.277269786134,1882.5248042524242,2090.487161533525,1620.2032495191281,1801.1622671474481,1853.8663860584807
ENSMUSG00000000266,2084.8208710947333,2028.406550400056,2108.082699069668,2481.3425838565863,2578.9776157591978,1996.4252581100081,2269.152109424152,1978.4628855933277,2170.75312437867,2226.622950283458,2071.4674907783383,2102.08470538421,2074.41933965221,2181.38715091646
ENSMUSG00000000275,3506.9057684752765,3875.3296314632817,3642.4299263732782,3296.6966783182943,3370.5656901057,3439.0737791785223,3294.3133003210996,3422.8811777907868,3806.509183811918,4196.946895637591,3355.0958708178923,3256.5462903298226,3408.710397776236,3202.446766281862
ENSMUSG00000000276,415.7901704135704,402.8706699387626,454.95287066812637,524.5759648388382,597.3204145578928,465.117578715582,487.09096103562206,510.3071523162611,579.8718041492787,589.3471892650814,590.2352110583668,588.4627684462548,561.166057843958,644.236191801548
ENSMUSG00000000278,4468.1297212057,4288.263392354016,4478.63165393393,4237.666287224336,3980.303078186432,4247.882194124774,4472.845020869368,5099.033706373161,5042.690426515688,4386.85250153979,4560.615078600432,4600.217955662863,4820.043504969628,4565.114792814286
